PERIODO_EVALUACION,PERIODO_VENTA,TIPO_PERIODO,FECHA_EVALUACION,VENTA_CANAL,VENTA_PDV_CODIGO,VENTA_PDV_DESC,VENTA_USUARIO,TIPO_PRODUCTO,SERVICIO,TIPO_VENTA_DES,NRO_SEC,ESTADO,NRO_PEDIDO,PEDIDO_ESTADO,CANTIDAD_LINEAS,FECHA_HORA_ENTREGA,NRO_SOT,SOT_ESTADO,UGIS,FECHA_INSTALACION,DEPARTAMENTO,PROVINCIA,DISTRITO,PACK_CHIP,EQUIPO_MARCA,EQUIPO_MODELO,CARGO_FIJO,PLAN_COMERCIAL,CAMPANA_APLICADA,OPERADOR_CEDENTE,TIPO_ENTREGA,DERIVACION_CANAL,DERIVACION_PDV_CODIGO,DERIVACION_PDV_DESC,ESTADO_ACTIVACION,VALIDACION_VENTA,MOTIVO_ASIGNACION,FECHA_ACTIVACION,ORIGEN_VTA_PDV,ORIGEN_VTA_PDV_DESC,CARGO_FIJO_ACTIVACION,SOCIO_LATAM,ORIGEN_CLIENTE,TIPO_COINCIDENCIA,TIPO_PAGO_ORIGEN
202509,202508,MESES ANTERIORES,20/08/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8415554,MOVIL,PORTABILIDAD,POSTPAGO,96999437,ANULADO,126124035,PEDIDO ANULADO,1,,,,,,CAJAMARCA,JAEN,JAEN,CHIP,,,79.9,Max Ilimitado 79.90,DTO PORTABILIDAD POSTPAGO,BITEL,PRESENCIAL,ACD,LF86,MAHADI JAEN5,VENTA PERDIDA,,"No CAC o CADENA, cambio de plazo y/o campaña, sec mas antigua en 2d, SI cumple C/P",03/09/2025 00:00,W6ZZ,FFVV EMP G2B LOS OLIVOS,79.9,,BASE MESES ANTERIORES,POR DOCUMENTO,POSTPAGO
202509,202508,MESES ANTERIORES,25/08/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8405239,MOVIL,PORTABILIDAD,POSTPAGO,97133833,ANULADO,126309375,PEDIDO ANULADO,1,,,,,,LIMA,LIMA,LURIN,CHIP,,,79.9,Max Ilimitado 79.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,DELIVERY,DELIVERY,DELIVERY,DELIVERY,VENTA PERDIDA,,"Finaliza en CAC o CADENA  y SI cumple C/P, Sec mas antigua en 2d",03/09/2025 00:00,LGAM,FFVV EMP FORCE,39.9,LATAM,BASE MESES ANTERIORES,POR DOCUMENTO,POSTPAGO
202509,202508,MESES ANTERIORES,26/08/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8415742,MOVIL,PORTABILIDAD,POSTPAGO,97150316,ANULADO,126356854,PEDIDO ANULADO,1,,,,,,CAJAMARCA,CUTERVO,CUTERVO,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,BITEL,PRESENCIAL,ACD,HWO4,CELL_SERVICE_CUTERVO,VENTA PERDIDA,,no existe SEC de canal remoto en 2 días pero pdv original fue modificado,01/09/2025 00:00,HWO4,CELL_SERVICE_CUTERVO,79.9,,BASE MES-1,POR LINEA,POSTPAGO
202509,202508,MESES ANTERIORES,26/08/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8401469,MOVIL,PORTABILIDAD,POSTPAGO,97148335,ANULADO,126329885,PEDIDO ANULADO,1,,,,,,JUNIN,HUANCAYO,HUANCAYO,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,DELIVERY,DELIVERY,DELIVERY,DELIVERY,VENTA PERDIDA,,"Finaliza en CAC o CADENA  y SI cumple C/P, Sec mas antigua en 2d",05/09/2025 00:00,I5FK,FFVV EMP BLING,79.9,,BASE MES ACTUAL,POR LINEA,POSTPAGO
202509,202508,MESES ANTERIORES,26/08/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8404329,MOVIL,PORTABILIDAD,POSTPAGO,97147843,ANULADO,126329559,PEDIDO ANULADO,1,,,,,,LA LIBERTAD,TRUJILLO,TRUJILLO,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,DELIVERY,DELIVERY,DELIVERY,DELIVERY,VENTA PERDIDA,,"Finaliza en CAC o CADENA  y SI cumple C/P, Sec mas antigua en 2d",06/09/2025 00:00,5RNE,KONECTA_PORTOUT,69.9,LATAM,BASE MES-1,POR LINEA,POSTPAGO
202509,202508,MESES ANTERIORES,27/08/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8415743,MOVIL,PORTABILIDAD,POSTPAGO,97180604,ANULADO,126374106,PEDIDO ANULADO,1,,,,,,HUANCAVELICA,ANGARAES,LIRCAY,CHIP,,,79.9,Max Ilimitado 79.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,PRESENCIAL,ACD,Y2F9,CORPORACION JPM LIRCAY,VENTA PERDIDA,,no existe SEC de canal remoto en 2 días pero pdv original fue modificado,01/09/2025 00:00,Y2F9,CORPORACION JPM LIRCAY,79.9,,BASE MES-1,POR LINEA,POSTPAGO
202509,202508,MESES ANTERIORES,27/08/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8415667,MOVIL,PORTABILIDAD,POSTPAGO,97174745,ANULADO,126365315,PEDIDO ANULADO,1,,,,,,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,CHIP,,,79.9,Max Ilimitado 79.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,DELIVERY,DELIVERY,DELIVERY,DELIVERY,VENTA PERDIDA,,no existe SEC de canal remoto en 2 días pero pdv original fue modificado,09/09/2025 00:00,R461,GO Y CAR_D.CHICLAYO,79.9,LATAM,BASE MESES ANTERIORES,POR LINEA,POSTPAGO
202509,202508,MESES ANTERIORES,28/08/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8415600,MOVIL,PORTABILIDAD,POSTPAGO,97202846,ANULADO,,,3,,,,,,LIMA,LIMA,MIRAFLORES,CHIP,,,79.9,Max Ilimitado 79.90,DTO PORTABILIDAD POSTPAGO,ENTEL,PRESENCIAL,NO DERIVADO,5PTW,RECUPERA_PORT_OUT,VENTA PERDIDA,,"Finaliza en CAC o CADENA  y SI cumple C/P, Sec mas antigua en 2d",02/09/2025 00:00,4NZ5,ATENTO_PORTOUT,79.9,,BASE MESES ANTERIORES,POR LINEA,POSTPAGO
202509,202508,MESES ANTERIORES,28/08/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8415506,MOVIL,PORTABILIDAD,POSTPAGO,97205162,ANULADO,,,1,,,,,,LIMA,LIMA,BREÑA,CHIP,,,79.9,Max Ilimitado 79.90,DTO PORTABILIDAD POSTPAGO,BITEL,PRESENCIAL,CADENA,NV84,RIPLEY BREÑA,VENTA PERDIDA,,"Finaliza en CAC o CADENA  y SI cumple C/P, Sec mas antigua en 2d",11/09/2025 00:00,DV04,DV04 - TLVTS_A365,69.9,,BASE MESES ANTERIORES,POR LINEA,POSTPAGO
202509,202508,MESES ANTERIORES,28/08/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8407338,MOVIL,PORTABILIDAD,POSTPAGO,97214435,ANULADO,,,1,,,,,,LIMA,LIMA,MIRAFLORES,CHIP,,,79.9,Max Ilimitado 79.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,PRESENCIAL,NO DERIVADO,5PTW,RECUPERA_PORT_OUT,VENTA PERDIDA,,"Finaliza en CAC o CADENA  y SI cumple C/P, Sec mas antigua en 2d",06/09/2025 00:00,4NZ5,ATENTO_PORTOUT,69.9,,BASE MES ACTUAL,POR LINEA,POSTPAGO
